client,model,question_id,category,status,score_0_to_5,scorer_notes,hallucination_count,missed_source_risk,scoring_basis
codex,gpt-5.4,Q030,"Housing, benefits, homelessness, and CTR",completed,5,Includes all four income threshold changes and both capital limits.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q030,"Housing, benefits, homelessness, and CTR",completed,5,Complete and accurate on income and capital thresholds.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q030,"Housing, benefits, homelessness, and CTR",completed,5,Includes all required income threshold changes and both capital limits.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q030,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits all required threshold changes.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q031,"Housing, benefits, homelessness, and CTR",completed,5,Includes all required CTR provisions and deduction bands; adds unsupported UC carer-element entitlement and additional care-leaver legal/detail claims beyond gold.,2,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q031,"Housing, benefits, homelessness, and CTR",completed,5,"Covers carers, care leavers, all deduction amounts, and no-deduction Carer's Allowance caveat; adds UC carer element beyond the gold answer.",1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q031,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies required rubric points; extra UC carer element statement is beyond the gold answer but caveated.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q031,"Housing, benefits, homelessness, and CTR",completed,5,Includes all required amounts and caveats; adds UC carer element beyond the gold answer.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q031,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer despite completed status; misses all required provisions and cites no relevant gold source.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q032,"Housing, benefits, homelessness, and CTR",completed,5,Fully answers required transitional protection rule; adds funding detail beyond gold.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q032,"Housing, benefits, homelessness, and CTR",completed,5,Correctly states both the 12-month minimum and 75% floor.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q032,"Housing, benefits, homelessness, and CTR",completed,5,Correctly gives 12-month minimum and 75% floor; adds funding detail not in the gold answer.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q032,"Housing, benefits, homelessness, and CTR",completed,5,Concise and complete: includes 12 months and 75% previous-scheme floor.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q032,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; does not provide the required 12-month and 75% terms.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q033,"Housing, benefits, homelessness, and CTR",completed,5,Correctly states both figures and the discrepancy.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q033,"Housing, benefits, homelessness, and CTR",completed,5,Reports both conflicting figures and explicitly identifies the internal inconsistency.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q033,"Housing, benefits, homelessness, and CTR",completed,5,"Reports both conflicting totals and explains the 100,000 mismatch.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q033,"Housing, benefits, homelessness, and CTR",completed,5,Correctly identifies the conflicting summary and table figures with caveat.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q033,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; fails to identify the inconsistency from DOC-HB-007.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q034,"Housing, benefits, homelessness, and CTR",completed,5,"Fully satisfies required London, expenditure, and data-quality points.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q034,"Housing, benefits, homelessness, and CTR",completed,5,"Includes London count and award, all three expenditure figures, and carried-forward data-quality caveat.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q034,"Housing, benefits, homelessness, and CTR",completed,5,"Complete against rubric, including London figures, expenditure split, and data-quality carried-forward caveat.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q034,"Housing, benefits, homelessness, and CTR",completed,3,"Gets London figures, total expenditure, and carried-forward caveat, but omits the social/private rented expenditure split required for full credit.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q034,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; omits all required figures and data-quality statement.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q035,"Housing, benefits, homelessness, and CTR",completed,5,Fully satisfies rubric with required assessment-period and MIF details.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q035,"Housing, benefits, homelessness, and CTR",completed,5,"Covers net-profit basis, annualisation, MIF trigger, 35-hour assumption, and start-up exception.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q035,"Housing, benefits, homelessness, and CTR",completed,5,Complete and aligned with all rubric elements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q035,"Housing, benefits, homelessness, and CTR",completed,5,Concise and complete against all required rubric points.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q035,"Housing, benefits, homelessness, and CTR",completed,0,Non-answer; fails to state the assessment or MIF rules.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q036,"Business, employment, and workplace rights",completed,5,"Complete: steps, registration types, and all threshold amounts/deadlines are present.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q036,"Business, employment, and workplace rights",completed,4,"Includes steps and all thresholds, but does not spell out sole trader/company/partnership registration distinctions required by the gold answer.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q036,"Business, employment, and workplace rights",completed,5,"Includes step list, registration distinctions, and all required thresholds.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q036,"Business, employment, and workplace rights",completed,4,"Includes the step list and all numeric thresholds, but omits the registration detail by structure from the gold answer.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q036,"Business, employment, and workplace rights",completed,0,Non-answer; gives none of the required steps or thresholds.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q037,"Business, employment, and workplace rights",completed,5,Matches the gold table content for all three business structures.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q037,"Business, employment, and workplace rights",completed,5,"Covers liability, tax treatment, and registration for all three structures.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q037,"Business, employment, and workplace rights",completed,5,"Complete comparison across liability, tax, and registration.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q037,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0 by instruction.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q037,"Business, employment, and workplace rights",completed,0,Non-answer; does not compare the structures.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q038,"Business, employment, and workplace rights",completed,4,"Includes GBP 1,000 rule, deadline, and 10-working-day UTR, but misses HMRC's recommendation to register as soon as possible and the below-allowance/no-expenses exception.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q038,"Business, employment, and workplace rights",completed,4,"Includes GBP 1,000 rule, deadline, recommendation, and 10-working-day UTR; omits the below-allowance/no-expenses non-registration caveat and overstates 'must register as soon as they start'.",1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q038,"Business, employment, and workplace rights",completed,4,"Covers required core facts, but omits the below-GBP-1,000/no-expenses exception and overstates registration when starting work for themselves.",1,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q038,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0 by instruction.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q038,"Business, employment, and workplace rights",completed,0,Non-answer; none of the required registration rules are provided.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q039,"Business, employment, and workplace rights",completed,5,Contains all required NI and record-keeping rules; adds payments-on-account detail beyond gold.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q039,"Business, employment, and workplace rights",completed,5,"Includes both NI thresholds, 31 January payment rule, and five-year record retention.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q039,"Business, employment, and workplace rights",completed,5,"Complete against rubric: both thresholds, filing/payment date, and retention period.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q039,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0 by instruction.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q039,"Business, employment, and workplace rights",completed,0,Non-answer; omits all required NI thresholds and record-keeping rules.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q040,"Business, employment, and workplace rights",completed,5,All four required penalty bands are correct; adds examples of reasonable excuse beyond gold.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q040,"Business, employment, and workplace rights",completed,5,Lists all four late-registration penalty bands and amounts correctly.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q040,"Business, employment, and workplace rights",completed,5,Complete penalty table with all four bands and amounts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q040,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0 by instruction.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q040,"Business, employment, and workplace rights",completed,0,Non-answer; no penalty bands or amounts provided.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q041,"Business, employment, and workplace rights",completed,5,Complete and correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q041,"Business, employment, and workplace rights",completed,5,All four rates and apprentice caveat are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q041,"Business, employment, and workplace rights",completed,5,"Fully matches rates, apprentice caveat, and source.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q041,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q041,"Business, employment, and workplace rights",completed,0,Non-answer; incorrectly says the rates cannot be provided from the evidence.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q042,"Business, employment, and workplace rights",completed,5,Complete and accurate.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q042,"Business, employment, and workplace rights",completed,5,"Includes five errors, arrears, 200%/GBP 20,000 penalty, and 15-year disqualification.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q042,"Business, employment, and workplace rights",completed,5,Complete against the rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q042,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q042,"Business, employment, and workplace rights",completed,0,Non-answer; says the source content is unavailable instead of applying the gold source.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q043,"Business, employment, and workplace rights",completed,4,"Mostly correct, but implies ages 16-21 only within the lower earnings band; gold includes non-eligible cases above GBP 10,000 due to age.",1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q043,"Business, employment, and workplace rights",completed,5,"All three worker categories, age ranges, thresholds, and duties are covered.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q043,"Business, employment, and workplace rights",completed,5,"Covers all required categories, thresholds, and duties.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q043,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q043,"Business, employment, and workplace rights",completed,0,Non-answer; fails to provide the classifications.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q044,"Business, employment, and workplace rights",completed,5,Complete and correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q044,"Business, employment, and workplace rights",completed,5,"Includes contribution rates, earnings band, opt-out/refund, three-year re-enrolment, and six-year records.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q044,"Business, employment, and workplace rights",completed,5,Complete against the rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q044,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q044,"Business, employment, and workplace rights",completed,0,Non-answer; does not provide any required rules.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q045,"Business, employment, and workplace rights",completed,5,Fully covers GBP 400 fixed penalty context and all worker bands/rates.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q045,"Business, employment, and workplace rights",completed,4,"All daily bands and rates are correct, but the GBP 400 fixed penalty amount is omitted.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q045,"Business, employment, and workplace rights",completed,4,"All escalating daily penalties are correct, but GBP 400 fixed penalty context is missing.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q045,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q045,"Business, employment, and workplace rights",completed,0,Non-answer; says the penalty amounts are unavailable.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q046,"Business, employment, and workplace rights",completed,5,"Covers two-year rule, fair reasons, automatic unfair reasons, and redundancy-payment basis.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q046,"Business, employment, and workplace rights",completed,5,Meets all rubric points; extra collective redundancy note is not harmful.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q046,"Business, employment, and workplace rights",completed,5,Complete and accurate; extra context does not conflict.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q046,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q046,"Business, employment, and workplace rights",completed,0,Non-answer; does not summarise the required rights.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q047,"Business, employment, and workplace rights",completed,5,Complete and accurate.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q047,"Business, employment, and workplace rights",completed,5,All required flexible-working and written-particulars points are included.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q047,"Business, employment, and workplace rights",completed,5,Complete against the rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q047,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q047,"Business, employment, and workplace rights",completed,0,Non-answer; fails to provide required details.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q048,"Business, employment, and workplace rights",completed,5,Fully satisfies the rubric; extra eligibility threshold does not conflict.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q048,"Business, employment, and workplace rights",completed,5,"Weekly rate, both daily rates, 28-week duration, and three waiting days are correct.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q048,"Business, employment, and workplace rights",completed,5,"Complete and correct, with permissible extra eligibility detail.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q048,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q048,"Business, employment, and workplace rights",completed,0,Non-answer; says SSP rates and rules are unavailable.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q049,"Business, employment, and workplace rights",completed,5,Meets all rubric requirements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q049,"Business, employment, and workplace rights",completed,5,"Covers eligibility tests, GBP 123 threshold, 7-day and 28-day notification distinction, and fit-note rule.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q049,"Business, employment, and workplace rights",completed,5,Complete and accurate.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q049,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q049,"Business, employment, and workplace rights",completed,0,Non-answer; does not state qualifying or notification conditions.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q050,"Business, employment, and workplace rights",completed,5,Covers earned-income treatment and employer notification distinction; extra benefit-office note is not conflicting.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q050,"Business, employment, and workplace rights",completed,5,Includes SSP as earned income and the employer no-notification/confirmation distinction.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q050,"Business, employment, and workplace rights",completed,5,Fully answers required interaction and notification distinction.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q050,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q050,"Business, employment, and workplace rights",completed,0,Non-answer; says the interaction is unavailable.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q051,"Business, employment, and workplace rights",completed,5,Fully covers all required elements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q051,"Business, employment, and workplace rights",completed,5,"Fully covers non-statutory status, consent, local-connection authority, and agreed information only.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q051,"Business, employment, and workplace rights",completed,5,Fully satisfies the rubric; extra process details do not conflict with the gold answer.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q051,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q051,"Business, employment, and workplace rights",completed,0,Non-answer placeholder; does not address the rubric.,0,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q052,"Business, employment, and workplace rights",completed,5,"Fully satisfies the rubric, with additional compatible details.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q052,"Business, employment, and workplace rights",completed,5,"Includes day-one right, 6 April 2024 removal, two requests per 12 months, and written dated section 80F requirement.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q052,"Business, employment, and workplace rights",completed,5,Fully covers all required statutory request rules.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q052,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q052,"Business, employment, and workplace rights",completed,0,Refuses to answer despite the gold source containing the rules; materially fails the question.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q053,"Business, employment, and workplace rights",completed,5,"Covers all eight grounds, consultation, time/process failures, reconsideration, and up to eight weeks' pay.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q053,"Business, employment, and workplace rights",completed,5,"Lists all eight grounds, consultation requirement, and tribunal remedy.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q053,"Business, employment, and workplace rights",completed,4,"Lists all eight grounds and remedy, but omits the explicit consultation-before-refusal requirement.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q053,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q053,"Business, employment, and workplace rights",completed,0,Non-answer claiming the required content is unavailable; misses all rubric elements.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q054,"Business, employment, and workplace rights",completed,5,Fully covers all methodology elements required by the rubric.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q054,"Business, employment, and workplace rights",completed,5,"Includes dates, mode, sample source and stratification, responses/rate, weighting, and confidence interval.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q054,"Business, employment, and workplace rights",completed,5,Fully matches the methodology requirements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q054,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q054,"Business, employment, and workplace rights",completed,0,Non-answer; incorrectly treats the needed source content as unavailable.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q055,"Business, employment, and workplace rights",completed,4,Mostly correct but omits all-SME business total and micro employee count; says South West where the gold answer does not support it.,1,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q055,"Business, employment, and workplace rights",completed,4,"Covers sector and regional findings and micro count/share, but omits all-SME totals and micro employee count.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q055,"Business, employment, and workplace rights",completed,4,"Good sector and regional coverage, but misses all-SME total businesses/employees and micro employee count.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q055,"Business, employment, and workplace rights",quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q055,"Business, employment, and workplace rights",completed,0,Non-answer; fails to provide the required findings.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q056,Procurement and spending controls,completed,5,Complete and consistent with the gold answer.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q056,Procurement and spending controls,completed,5,"Fully covers goods, services, works, ICT, CDDO/cloud, tender, and FTS escalation.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q056,Procurement and spending controls,completed,5,Fully satisfies all threshold and escalation requirements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q056,Procurement and spending controls,quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q056,Procurement and spending controls,completed,0,Non-answer; does not provide any threshold values.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q057,Procurement and spending controls,completed,5,Complete and accurate across all six bands.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q057,Procurement and spending controls,completed,5,"All six value bands, approvers, and additional requirements are correct.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q057,Procurement and spending controls,completed,5,Fully matches the approval matrix.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q057,Procurement and spending controls,quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q057,Procurement and spending controls,completed,0,Non-answer; misses all required approval bands.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q058,Procurement and spending controls,completed,5,Complete list with required thresholds and caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q058,Procurement and spending controls,completed,5,Lists all eight categories and includes strategic supplier and digital/technology thresholds.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q058,Procurement and spending controls,completed,5,Fully satisfies the category list and threshold caveats.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q058,Procurement and spending controls,quota_exhausted,0,"Status is quota_exhausted, so score is 0.",0,1,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q058,Procurement and spending controls,completed,0,Non-answer; fails to identify the required spending categories.,1,1,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q059,Procurement and spending controls,completed,5,"Complete answer including IT Asset Board, procurement approvals, ICT process, and business-case thresholds.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q059,Procurement and spending controls,completed,4,"Covers IT Asset Board and business-case/procurement approval thresholds, but omits the ICT Technology Assessment caveat.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q059,Procurement and spending controls,completed,5,"Fully covers IT Asset Board, conditional procurement approvals, ICT Technology Assessment, and business-case thresholds.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
